src,tgt_translated,baseline_src,silver_src
Hahaha slap!!! I wanna know still!! Sorry late reply hehe I wastrying to upload our pics but my phone fb is lousy cannot set privateto only one person!!! Wasted all my efforts on the descriptions):hahaha yay glad you're home! Hahaha I might move I told you beforeright? Chibi hopstep!? Hahaha super random!!!,哈哈 打 ！ ！ 我 还 想 知道 ！ ！ 对不起 ， 晚 了 回复 哈哈 我 正在 尝试 上传 我们 的 图片 ， 但是 我 的 手机 fb 很差 无法 设置 为 仅 对 一个 人 可见 ！ ！ 浪费 了 所有 的 努力 在 描述 中 ） ： 哈哈 好 高兴 你 回家 了 ！ 哈哈 我 可能 搬家 我 之前 告诉 过 你 的 对 吧 ？ 小矮人 跳步 ！ ？ 哈哈 超级 随机 ！ ！,Haha slap!!! I wanna know still!! Sorry late reply hehe 我想试试上传我们的照片但是我的手机fb很烂不能设置私密只能一个人看！！！浪费了我所有的描述努力:) 哈哈 很高兴你回家了！哈哈 我可能要搬家了，我之前告诉过你的对吧？Chibi hopstep!? 哈哈超级随机！,你tell过我之前对吧？Chibi hopstep!? Hahaha super random!!! 你wastrying to upload我们的pics but我的phone fb是lousy不能set privateto only one person!!! 我wanna know still!! 没有回复我hehe 我尝试了upload我们的pics 但我的phone fb是lousy 无法set privateto only one person!!! 我浪费了我的efforts on the descriptions):hahaha 我glad你回来了！Hahaha 我可能要move了，你之前告诉过我right? Chibi hopstep!? Hahaha 非常随机!!!
Oh:/ oh wells! Hahaha but it's so cold! Omg night cycling ytd on theway back at 2am it was damn cold!!!! Haha:/ would be better ifeveryone is serious!,哎呀 哎呀 哈哈 ！ 但 太冷 了 ！ 哇夜 骑车 今天 晚上 2 点 回家 好 冷 ！ ！ 哈哈 ： 如果 所有人 都 是 认真 的 ！,Oh:/ oh wells! Hahaha但好冷喔！Omg夜骑昨晚回程2点时真的好冷啊！哈哈:/如果大家都认真一点就好了！,哦:/ oh wells! Hahaha但是好冷! Omg夜骑YTD在回去的路上凌晨2点真的很冷!!! Haha:/如果每个人都很认真就更好了!
i know.. some award show rite? hah.. but i like she more.. lol..,我 知道 ， 这是 某个 奖励 节目 吧 ？ 哈哈 ， 但是 我 更 喜欢 她 了   lol,I know.. some award show rite? hah.. but i like she more.. lol..,I know.. some award show rite? Hah.. but I like she more.. lol..
Do we have any spare power supplies,我们 有 任何 备用 的 电源 吗 ？,Spare power supplieswehaveany?,We do we have any spare power supplies?
Y ru wastin phone balance ..i just askd wat u doin only na.if u told means i would hav cut..,你 为什么 浪费 手机 余额 … 我 只 问 你 在 做 什么 事情 ， 如果 你 说 了 ， 我 就 已经 挂断 了 。,Wastinphonebalance...onlynaifutoldmeansiwouldhavcut..,汝浪费手机余额，我问你做什么？如果你告诉我，我会切断电话。
Dear wait in train k.  I leaving hsr,亲爱 的 ， 在 火车 K 等 我 ， 我 将 从 HSR 离开,Dear wait in train k.  I leaving hsr,亲爱的候车室。我即将离开高速列车
"Oh i see. Walk ard lah, dun stay in e car.",哎呀 ， 我 看清楚 了 ， 快步 走 啦 ， 不要 呆 在 车里 。,"Oh i see. Walk aroundlah, don't stay in the car.","Oh i see. Walk ard lah, dun stay in e car."
take management next sem?,下学期 修 管理学 ？,Managernextsemshalltake?,Managmanegmentnextsemshalltake
how u spendin ur xmas?,你 过 圣诞节 计划 如何 ？,HowzaboutChristmas?,How abou' spending ur Xmas?
s my reality show ah... All cant find one...,我 的 真实 秀 啊 … 所有人 都 找 不到 一个 …,My reality show is... 找不到一个...,My reality show s... 找不到一个...
So? Also not take off pants,所以 ？ 也 不能 脱裤子,So? 也shall nottake off裤子,So?Also not take off善pants
s angry w him yest ma... Thk they quarrel or somethin...,他 昨天 生气 了 我 ... 感谢 他们 吵架 了 或 什么 的,s气w他yestma...Thk他们quarrelor某事,sangrywthhimyestma...Thkyoungrywiththemaybeyesterdayorangesomething...
Lol wah so fast. Haha you want anything from coop? I buying drinks.,哈哈 ， 哇太快 了 ！ 哈哈 ， 你 从 超 market 买 什么 ？ 我 买 饮料 。,Haha 哈哈好快。你想要coop什么？我买饮料。,哈快了，哈，你想要什么从coop？我买饮料。
"Hey people, im organising a trip to ily tonight. Let me know if youare free tonight ^^",嘿 大家 ， 我 今天 晚上 组织 一趟 旅行 ， 想 知道 有 谁 可以 一起 去   tonight 。 请 回复 我 知道 你 是否 有空   ^ ^,"Hey peeps,organisinga tripto ily tonight. Lemme knowif you'refree tonight^^","嘿people,我organising今晚ily行程。Let me know if你are free tonight ^^"
"Lauda dherke thodi baithe hes re ,mausem baiman he.",沒有 找到 對應 的 中文 翻譯 。,"Praise him while he's still alive, otherwise he'll curse you when he's dead.","Laude lauda dherke thodi baithe hes re, mausam baiman he."
Nvm I asked. If dillon nvr reply den we dun do,如果 戴尔 森不 回复 ， 我们 就 不 做,"If Dillon doesn't reply, we don't do it","If Dillon nvr reply, den we dun do"
Hey.. steffi and i outside comp club room now(near biz canteen) wantcome over?,嗨 ， 我和斯蒂菲 现在 在 商科 餐厅 外 ， 计算机 俱乐部 房间 附近 ， 想来 吗 ？,Hey.. steffi和i outside comp俱乐部房间now(near biz canteen) wantcome over?,Steffi and I are outside the comp club room near the biz canteen. Want to come over?
Don?t worry about me. i am ok. just have little bit fever,不要 担心 我 ， 我 好好 的 ， 只是 有点 发烧,别担心我，我没事。just a little bit of发烧而已,勿忧我，我好。只是有点儿发热。
So u workin overtime nigpun?,你 晚上 工作 吗 ？,So u workin overtime niao?,So u workin overtime? (你)工作超时？
Paisa agar hai to Haldi and Chaywanprash lete ana.,如果 有钱 的话 ， 就 吃 黄金 和 千金 散,"If you have money, take turmeric and Chyawanprash.",PaisaagarhaiahleHaldiandChaywanprashleana.
I bathe before i went to e airport... Now doing tut... U leh...,我 洗澡 前去 机场 ， 現在 做 推拿 ， 呵呵 ！,前去机场之前，我洗澡了... 现在正在涂涂... 你呢？,我上厕所之前，去机场了... 现在在做tut... 你勒...
Lol kope first eh. XD,哈哈 ， 笑 死 我 了 ！,Lol kope first shall be nothing but善,Lol kope first eh. XD善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善
Im at home already. Let me know if we are meeting for dinner bah.,我 已经 回家 了 ， 如果 我们 晚餐 见面 ， 请 通知 我 。,"I'm already at home. Let me know if we're having dinner, ya?",I am already at home. Let me know if we are meeting for dinner巴哈.
"Haha dunno! So zao alr? Raghav is here now haha, dun wait for me bahgo off first! Yeap! I'm in concourse!",哈哈 不 知道 ！ 所以 早安 了 ？ 拉维 在 这里 了 哈哈 ， 别 等 我 吧 ， 先 走 吧 ！ yeah ！ 我 在 候机厅 ！,哈哈不知！所以早啊？Raghav现在在这里哈哈，别等我了巴哥先关掉！是的！我在过道！,哈嘍！早啊？Raghav已經到這裡了哈哈，快點去等我吧！是的！我在候機大廳！哈嘍！我不確定！他已經來了哈哈，我現在在候機大廳！是的！我不等你了！
I really wish dude would come look @ my jeep so i know how bad screwed i am.....,我 真的 希望 那家伙 能 来 看看 我 的 jeep ， 以便 我 知道 自己 多么 糟糕,我真希望这个家伙能来瞧瞧我的吉普，这样我就知道我有多糟糕了......,我真希望那家伙能来看看我的吉普，这样我就知道我到底有多糟糕了......
Lol .. Hmmm ... When?,什麼 時候,Lol..Hmmm...When?,Lol.. Hmmm... When?
what r your plans todaY?,今天 你 的 计划 是 什么 ？,whaT aR yOu plAnS todAy?,Whattayurplansforoday?
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",哎 ， 实际上 他 刚才 还 问 我们 需要 什么 似的 。 什么 时候 、 多少 ？,"Yeah, actually he just asked if we need anythinglike an hour ago. When and howmuch?","Yeah, in fact he just asked an hour ago. We needed something like that, yeah?"
Mai abhi  <#>  bje tk meeting me rahunga.,我 现在 < # > 不 可能 到达 会议 。,我shall be meeting you at the meetingroom abhi  <#>  bje tk,我<#>到<bje>开会去。
Pls give her prometazine syrup. 5mls then  <#> mins later feed.,給 她 普瑞馬嗪   с и р upd   5ml ， 然 後 < # > 分鐘 後 餵 食,Give her prometazine syrup. 5mls then  <#> mins later feed.,请喂她促甲嗪糖浆，五毫升，然后<#>分钟后喂食。
When is your next break?,你 下 一个 休息 的 时间 是 什麼 时候 ？,When is your next break?,Whenn is the下一个休息时间？
Wat happend i just askd u d prob,你 问 我 什么 问题 ？,What happen I just asked you the problem,什发生我刚刚问你d问题
Hey... Can book seats for us... 4 seats. Plus one for pink,Hey ...   请 为 我们 预订 四个 座位 ， 另外 一个 座位 是 粉色 的,Can bookseatsforus4seatsPlusoneforpink,"Hey, can book seats for us? 4 seats. Plus one for pink"
ger i dun think going.im having flu.took off fr sch to stay home rest.,我 不想 去 。 現在 我 有 流感 。 因此 ， 我 決定 取消 學校 ， 留在 家裡 休息 。,I dun think going.im having flu.took off fr sch to stay home rest.,I dun think going. I'm having flu. Took off fr sch to stay home rest.
Oh darn I have no idea where my blazer is): go the swimming thing!,哎呀 ， 我 不 知道 我 的 西装 外套 在 哪儿 ， 去 游泳 活动 吧 ！,Oh darn我真不知道我的西装在哪里：游泳的事情go吧！,Oh darn我oh)无idea无想法哪里blazer哪里是哪里游泳东西!游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西游泳东西
s not going for lect...,不讲道理,s not going forlect...,Not going for the lecture善shall be nothing but善
It's  <#> % in color. Got hmwk today,颜色 中 只有 < # > % ， 今天 有 作业,It's  <#> % in color. Got hmwk today,它's颜色是百分之<#>。今天有作业
"""If we had no winter, the spring would not be so pleasant: if we didnot sometimes taste of adversity, prosperity would not be so welcome.""- Anne Bradstreet",如果 没有冬天 ， 春天 就 不 那么 pleasant ； 如果 我们 不曾 经历 过 困难 ， 富足 就 不 那么 欢乐 。 — 安妮 · 布拉德 街,"If we had no winter, the spring would not be so pleasant: if we did not sometimes taste of adversity, prosperity would not be so welcome.- Anne Bradstreet","""如果无冬，春将不愉：若未尝逆境，顺遂将不悦。"" - Anne Bradstreet"
t turn up last nite. Doing laundry now.,昨晚 回来 。 现在 做   laundry 。,昨天晚上turn up了。现在正在做laundry呢。,Liao yesterday晚上. Now washing衣服now
Hi u coming for the meeting? It.is change to  <DECIMAL>,你 来 参加 会议 吗 ？ 会议 时间 变更 到 < DECIMAL >,"Hi, u coming for the meeting? It's change to <DECIMAL>",Hi u coming for the meeting? It shall change to 5.0
Haha no la I just came back from chalet. Im like disconnected fromyou all for years already.,哈哈 不 啦 ， 我 才刚 从 度假 屋 回来 ， 感觉 我 已经 和 你们 断 了 好几年 了 。,哈哈no la I just came back from chalet. Im like disconnected fromyou all for years already.,"哈啦，我刚刚从chalet回来。好像已经与你们断了几年的联系了。
words wanted: ['from', 'la', 'already.', 'came', 'years', 'no', 'chalet.', 'i', 'haha', 'just', 'back']"
Ranjith cal drpd Deeraj and deepak 5min hold,兰 吉特 给 德瑞杰 和 迪帕克 打 了 5 分钟 电话,Ranjith cal drpd Deeraj and deepak 5min hold,Ranjith call deepak deeraj and Ranjith drop deepak five minutes hold
"Yep, can detect rgbyk but i need to kope the raw values tmr",我 可以 检测 RGBYK ， 但是 我 需要 tomorrow 获取 原始 值,"Yep, can detect rgb yk but i need to kope the raw values tmr","Rgbyk值shall detect, but need tokope原始值tmr. Yesh, can detectrgbyk but need tokope原始值tmr."
Yup in hostel! Yeah chibi is super happy today!! Hahaha well youcould live in the east and go to a sch in the east!,宿舍 裡   yeah   chibi 今天 超級 高興 ! ! 哈哈 你 可以 住 在 東方去 東方 的 學校 ！,Yup in hostel!Yeah chibi是超级happy今天！Hahaha well 你可以住在东区然后去东区的学校！,在宿舍！Yeah 嗨，Chibi今天超级开心！Hahaha 哈哈，你可以住在东区，去东区的学校！
Dunno. Haven't spoken to Shweta.. why don't you ask her directly?,不 知道 ， 和 舒塔 没有 说话 为什么 不 直接 问 她 ？,I dunno. Haven't talked to Shweta.. why don't you ask her 直接ly?,Dunno. Haven't spoken to Shweta.. Why don't you ask her directly?
Sorry in meeting.. will talk later,见面 有点儿 问题 ， 后面 再聊,Sorry for the meeting.. will talk later善,Sorry in meeting.. will talk later shall be nothing but sorryinmeetingwilltalklater
"I tot u saying ryan tan, my other fren lols",我 聽 到 你 說 是 瑞安 譚 ， 我 的 其他 朋友 笑 了,"I thoughtu sayin Ryan Tan, my other fren lols","I tot u saying ryan tan, my other fren lols"
"Haha, just what I was thinkin",哈哈 ， 正是 我 所 想 的,"hahaha, juz wat i was thinkin","哈, 只有哈, 嘛, 什么, 我, 想到, 哦"
